sum.taxonomy	ASWS_B0	ASWS_E0	ASWS_H0	ASWS_K0	K0723_A1	K0723_B2	K0723_E4	K0723_G5	K0723_K6	K0723_L7	K0723_M8	K0723_T9	K0724_A1	K0724_B2	K0724_C3	K0724_E4	K0724_G5	K0724_K6	K0724_L7	K0724_M8	K0724_T9	K0725_A1	K0725_B2	K0725_C3	K0725_E4	K0725_G5	K0725_K6	K0725_L7	K0725_M8	K0725_T9	K0727_C3	K0727_E4	K0727_G5	K0727_K6	K0727_L7	K0727_M8	K0727_T9	K0740_B2	K0740_C3	K0740_E4	K0740_K6	K0810_C3	K0810_E4	K0810_G5	K0810_K6	K0810_L7	K0810_M8	K0810_T9	MWWS_B0	MWWS_E0	MWWS_H0	MWWS_K0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum macrostigmatum	241	217	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	1	455	0	0	0	0	0	0	0	0	0	0	0	255	3630	2	4340	890	708	363	1448	664	1654	16	251	11	1	7
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum oleofaciens	0	0	0	0	0	182	0	0	5	0	0	0	0	0	0	0	0	0	1	611	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum sp. CCAP 11/52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum sp. K2/9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	38
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella sp. KAERI-NJ23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella tertiolecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	7	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;;	203	150	2	62	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	364	0	0	0	146	1	0	0	0	0	0	0	1	1	0	0	1241	1202	118	2250	886	560	111	1166	113	27	270	2053	548	329	510
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;Edaphochlamys;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
